Date,Cumulative number of case(s),Number of deaths,Number recovered,daily_difference,Open,High,Low,Close,Adj Close,Volume,Daily Adj close change,Daily Volume change
2003-03-17,167,4,0,0,833.27002,862.7899779999999,827.169983,862.7899779999999,862.7899779999999,1700420000.0,0,0
2003-03-18,219,4,0,52.0,862.7899779999999,866.9400019999999,857.3599849999999,866.4500119999999,866.4500119999999,1555100000.0,3.660033999999996,-145320000.0
2003-03-19,264,9,0,45.0,866.4500119999999,874.98999,861.2100220000001,874.0200199999999,874.0200199999999,1473400000.0,7.57000800000003,-81700000.0
2003-03-20,306,10,0,42.0,874.0200199999999,879.599976,859.01001,875.669983,875.669983,1439100000.0,1.6499630000000707,-34300000.0
2003-03-21,350,10,0,44.0,875.840027,895.900024,875.840027,895.7899779999999,895.7899779999999,1883710000.0,20.119994999999903,444610000.0
2003-03-24,456,17,0,70.0,895.7899779999999,895.7899779999999,862.0200199999999,864.2299800000001,864.2299800000001,1293000000.0,-31.559997999999837,-590710000.0
2003-03-25,487,17,0,31.0,864.2299800000001,879.8699949999999,862.590027,874.73999,874.73999,1333400000.0,10.510009999999966,40400000.0
2003-03-26,1323,49,0,836.0,874.73999,875.7999880000001,866.4699710000001,869.9500119999999,869.9500119999999,1319700000.0,-4.789978000000133,-13700000.0
2003-03-27,1408,53,0,85.0,869.9500119999999,874.150024,858.090027,868.5200199999999,868.5200199999999,1232900000.0,-1.4299919999999702,-86800000.0
2003-03-28,1485,53,0,77.0,868.5200199999999,869.8800050000001,860.830017,863.5,863.5,1227000000.0,-5.020019999999931,-5900000.0
2003-03-31,1622,58,0,72.0,863.5,863.5,843.679993,848.179993,848.179993,1495500000.0,-15.320007000000032,268500000.0
2003-04-01,1804,62,0,182.0,848.179993,861.2800289999999,847.849976,858.4799800000001,858.4799800000001,1461600000.0,10.299987000000101,-33900000.0
2003-04-02,2223,78,0,419.0,858.4799800000001,884.570007,858.4799800000001,880.900024,880.900024,1589800000.0,22.42004399999996,128200000.0
2003-04-03,2270,79,0,47.0,880.900024,885.8900150000001,876.1199949999999,876.4500119999999,876.4500119999999,1339500000.0,-4.450012000000129,-250300000.0
2003-04-04,2353,84,0,83.0,876.4500119999999,882.7299800000001,874.2299800000001,878.849976,878.849976,1241200000.0,2.399964000000068,-98300000.0
2003-04-07,2601,98,0,185.0,878.849976,904.8900150000001,878.849976,879.929993,879.929993,1494000000.0,1.080016999999998,252800000.0
2003-04-08,2671,103,0,70.0,879.929993,883.1099849999999,874.679993,878.2899779999999,878.2899779999999,1235400000.0,-1.6400150000000622,-258600000.0
2003-04-09,2722,106,0,51.0,878.2899779999999,887.349976,865.7199710000001,865.98999,865.98999,1293700000.0,-12.299987999999871,58300000.0
2003-04-10,2781,111,1337,59.0,865.98999,871.7800289999999,862.76001,871.580017,871.580017,1275300000.0,5.590026999999964,-18400000.0
2003-04-11,2890,116,1373,109.0,871.580017,883.340027,865.919983,868.2999880000001,868.2999880000001,1141600000.0,-3.2800289999998995,-133700000.0
2003-04-14,3169,144,1499,209.0,868.2999880000001,885.26001,868.2999880000001,885.2299800000001,885.2299800000001,1131000000.0,16.92999199999997,-10600000.0
2003-04-15,3235,154,1515,66.0,885.2299800000001,891.2700199999999,881.849976,890.8099980000001,890.8099980000001,1460200000.0,5.5800179999999955,329200000.0
2003-04-16,3293,159,1548,58.0,890.8099980000001,896.7700199999999,877.929993,879.909973,879.909973,1587600000.0,-10.900025000000028,127400000.0
2003-04-17,3389,165,1597,96.0,879.909973,893.830017,879.2000119999999,893.580017,893.580017,1430600000.0,13.670043999999962,-157000000.0
2003-04-21,3861,217,1873,314.0,893.580017,898.01001,888.169983,892.01001,892.01001,1118700000.0,-1.5700070000000323,-311900000.0
2003-04-22,3947,229,1935,86.0,892.01001,911.73999,886.7000119999999,911.3699949999999,911.3699949999999,1631200000.0,19.359984999999938,512500000.0
2003-04-23,4288,251,2032,341.0,911.3699949999999,919.73999,909.8900150000001,919.0200199999999,919.0200199999999,1667200000.0,7.650025000000028,36000000.0
2003-04-24,4435,263,2114,147.0,919.0200199999999,919.0200199999999,906.6900019999999,911.429993,911.429993,1648100000.0,-7.590026999999964,-19100000.0
2003-04-25,4645,274,2203,210.0,911.429993,911.429993,897.5200199999999,898.8099980000001,898.8099980000001,1335800000.0,-12.619994999999903,-312300000.0
2003-04-28,5046,321,2339,214.0,898.8099980000001,918.150024,898.8099980000001,914.840027,914.840027,1273000000.0,16.0300289999999,-62800000.0
2003-04-29,5458,353,2424,412.0,914.840027,924.23999,911.099976,917.840027,917.840027,1525600000.0,3.0,252600000.0
2003-04-30,5659,372,2467,201.0,917.840027,922.01001,911.7000119999999,916.919983,916.919983,1788510000.0,-0.9200439999999617,262910000.0
2003-05-01,5861,391,2559,202.0,916.919983,919.679993,902.830017,916.2999880000001,916.2999880000001,1397500000.0,-0.6199949999999035,-391010000.0
2003-05-02,6050,417,2639,189.0,916.2999880000001,930.5599980000001,912.349976,930.080017,930.080017,1554300000.0,13.7800289999999,156800000.0
2003-05-05,6579,461,2760,349.0,930.080017,933.8800050000001,924.5499880000001,926.5499880000001,926.5499880000001,1446300000.0,-3.5300289999998995,-108000000.0
2003-05-06,6723,478,2822,144.0,926.5499880000001,939.6099849999999,926.3800050000001,934.3900150000001,934.3900150000001,1649600000.0,7.840026999999964,203300000.0
2003-05-07,6899,495,2881,176.0,934.3900150000001,937.2199710000001,926.409973,929.6199949999999,929.6199949999999,1531900000.0,-4.770020000000159,-117700000.0
2003-05-08,7049,506,2955,150.0,929.6199949999999,929.6199949999999,919.7199710000001,920.2700199999999,920.2700199999999,1379600000.0,-9.349974999999972,-152300000.0
2003-05-09,7179,514,3019,130.0,920.2700199999999,933.7700199999999,920.2700199999999,933.409973,933.409973,1326100000.0,13.139953000000105,-53500000.0
2003-05-12,7441,552,3189,149.0,933.409973,946.840027,929.2999880000001,945.1099849999999,945.1099849999999,1378800000.0,11.700011999999901,52700000.0
2003-05-13,7542,573,3292,101.0,945.1099849999999,947.51001,938.909973,942.2999880000001,942.2999880000001,1418100000.0,-2.8099969999998393,39300000.0
2003-05-14,7622,587,3391,80.0,942.2999880000001,947.2899779999999,935.23999,939.2800289999999,939.2800289999999,1401800000.0,-3.019959000000199,-16300000.0
2003-05-15,7693,598,3478,71.0,939.2800289999999,948.2299800000001,938.7899779999999,946.669983,946.669983,1508700000.0,7.3899540000001025,106900000.0
2003-05-16,7733,611,3584,40.0,946.669983,948.650024,938.599976,944.2999880000001,944.2999880000001,1505500000.0,-2.3699949999999035,-3200000.0
2003-05-19,7858,643,3841,103.0,944.2999880000001,944.2999880000001,920.2299800000001,920.7700199999999,920.7700199999999,1375700000.0,-23.529968000000167,-129800000.0
2003-05-20,7913,662,3978,55.0,920.7700199999999,925.340027,912.0499880000001,919.7299800000001,919.7299800000001,1505300000.0,-1.0400399999998626,129600000.0
2003-05-21,7950,666,4079,37.0,919.7299800000001,923.849976,914.909973,923.419983,923.419983,1457800000.0,3.6900029999999333,-47500000.0
2003-05-22,8046,682,4210,96.0,923.419983,935.2999880000001,922.5399779999999,931.8699949999999,931.8699949999999,1448500000.0,8.450011999999901,-9300000.0
2003-05-23,8111,689,4320,65.0,931.8699949999999,935.2000119999999,927.419983,933.2199710000001,933.2199710000001,1201000000.0,1.349976000000197,-247500000.0
2003-05-27,8215,735,4781,19.0,933.2199710000001,952.76001,927.330017,951.4799800000001,951.4799800000001,1532000000.0,18.260008999999968,331000000.0
2003-05-28,8240,745,4891,25.0,951.4799800000001,959.3900150000001,950.1199949999999,953.2199710000001,953.2199710000001,1559000000.0,1.7399910000000318,27000000.0
2003-05-29,8295,750,4994,55.0,953.2199710000001,962.080017,946.2299800000001,949.6400150000001,949.6400150000001,1685800000.0,-3.5799560000000383,126800000.0
2003-05-30,8311,754,5123,16.0,949.6400150000001,965.3800050000001,949.6400150000001,963.590027,963.590027,1688800000.0,13.950011999999901,3000000.0
2003-06-02,8379,770,5397,25.0,963.590027,979.1099849999999,963.590027,967.0,967.0,1662500000.0,3.4099730000000363,-26300000.0
2003-06-03,8393,772,5470,14.0,967.0,973.0200199999999,964.4699710000001,971.5599980000001,971.5599980000001,1450200000.0,4.559998000000064,-212300000.0
2003-06-04,8397,772,5741,4.0,971.5599980000001,987.849976,970.7199710000001,986.23999,986.23999,1618700000.0,14.67999199999997,168500000.0
2003-06-05,8398,775,5825,1.0,986.23999,990.1400150000001,978.1300050000001,990.1400150000001,990.1400150000001,1693100000.0,3.900025000000028,74400000.0
2003-06-06,8399,779,5932,1.0,990.1400150000001,1007.6900019999999,986.01001,987.76001,987.76001,1837200000.0,-2.3800050000000965,144100000.0
2003-06-09,8416,784,6275,17.0,987.76001,987.76001,972.590027,975.929993,975.929993,1307000000.0,-11.830016999999998,-530200000.0
2003-06-10,8425,789,6452,9.0,975.929993,984.840027,975.929993,984.840027,984.840027,1275400000.0,8.910033999999996,-31600000.0
